agency_id;codelistID;Name;URL
ESTAT;CL_LAND_USE;Land use;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_LAND_USE/1.0.1
OECD;CL_LEV_COUNTERPART;Level of counterpart code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_LEV_COUNTERPART/1.0
ESTAT;CL_MATERIAL;Materials;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_MATERIAL/1.1
ESTAT;CL_MATURITY;Original and Residual Maturity;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_MATURITY/1.8
UNSD;CL_MEASURE;CL_MEASURE;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_MEASURE/1.0
OECD;CL_MEASURE_PRINCIP;Measurement principle code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_MEASURE_PRINCIP/1.0
UIS;CL_MOBILITY;Mobility;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_MOBILITY/1.0
ESTAT;CL_NA_CONSOLIDAT;Consolidation codes;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_CONSOLIDAT/1.3
ESTAT;CL_NA_PRICES;Price codes;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_PRICES/1.1
ESTAT;CL_NA_STO;Stocks, Transactions, Other Flows;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_STO/1.16.0
ESTAT;CL_NA_STO93;Stocks. Transactions. Other Flows (SNA93);https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_STO93/1.4
ESTAT;CL_NA_TABLEID;NA Table IDs;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_TABLEID/1.10
IAEG-SDGs;CL_NATURE;Nature code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_NATURE/1.0
ESTAT;CL_OBS_STATUS;Observation status;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_OBS_STATUS/2.3
SDMX;CL_OBS_STATUS;Observation Status;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_OBS_STATUS/2.2
IAEG-SDGs;CL_OCCUPATION;SDG Occupation code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_OCCUPATION/1.8
SDMX;CL_OCCUPATION;Occupation;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_OCCUPATION/1.0
IMF;CL_ORGANISATION;Compiling organisation code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_ORGANISATION/1.14.0
UIS;CL_ORIGIN_CRITERION;Origin criterion;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_ORIGIN_CRITERION/1.0
UNSD;CL_PARTNER_TYPE;CL_PARTNER_TYPE;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_PARTNER_TYPE/1.0
ESTAT;CL_PENS_FUNDTYPE;Pension Fund Type;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_PENS_FUNDTYPE/1.2
ESTAT;CL_PRODUCT;Product classification;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_PRODUCT/1.3
IAEG-SDGs;CL_PRODUCT;SDG Type of product code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_PRODUCT/1.19
IAEG-SDGs;CL_QUANTILE;Income/wealth quantile code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_QUANTILE/1.1
ESTAT;CL_REF_PERIOD_DTL;Reference period detail codes;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_REF_PERIOD_DTL/1.0
ESTAT;CL_REGIONAL;Regional codes;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_REGIONAL/6.1.0
IAEG-SDGs;CL_REPORTING_TYPE;Reporting type code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_REPORTING_TYPE/1.0
ESTAT;CL_SEASON_ADJUST;Seasonal adjustment;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_SEASON_ADJUST/1.0
SDMX;CL_SEASONAL_ADJUST;Seasonal Adjustment;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_SEASONAL_ADJUST/1.0
ESTAT;CL_SECTOR;Sector codes;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_SECTOR/1.14
UIS;CL_SECTOR;Reference/Counterpart institutional sector;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_SECTOR/1.0
ESTAT;CL_SECTOR93;Institutional sector;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_SECTOR93/1.4
ESTAT;CL_SEEA_STO;Stocks, Transactions, Other Flows;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_SEEA_STO/1.2
IAEG-SDGs;CL_SERIES;SDG Series Code List;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_SERIES/1.18
IAEG-SDGs;CL_SEX;Sex code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_SEX/1.1
SDMX;CL_SEX;Sex;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_SEX/2.1
OECD;CL_STAT_UNIT;Statistical unit code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_STAT_UNIT/1.0
UIS;CL_STAT_UNIT;Statistical unit;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_STAT_UNIT/1.0
IMF;CL_TIME_COLLECT;Time period collection code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_TIME_COLLECT/1.0
SDMX;CL_TIME_FORMAT;Time Format;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIME_FORMAT/1.0
SDMX;CL_TIME_PER_COLLECT;Time Period - Collection;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIME_PER_COLLECT/1.0
SDMX;CL_TIMETRANS;Time Transformation;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIMETRANS/1.0
SDMX;CL_TIMETRANS_PER;Time Transformation Period;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIMETRANS_PER/1.0
SDMX;CL_TIMETRANS_TYPE;Time Transformation Type;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_TIMETRANS_TYPE/1.0
UNSD;CL_TRADE_FLOW;CL_TRADE_FLOW;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_TRADE_FLOW/1.0
UNSD;CL_TRADE_SYSTEM;CL_TRADE_SYSTEM;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_TRADE_SYSTEM/1.0
ESTAT;CL_TRANSFORMATION;Transformation codes;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_TRANSFORMATION/1.4
UNSD;CL_TRANSPORT_MODE;CL_TRANSPORT_MODE;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_TRANSPORT_MODE/1.0
OECD;CL_TYPE_ENTITY;Type of entity code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_TYPE_ENTITY/1.1
UIS;CL_TYPE_EXP_REPORTED;Type of expenditure reported;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_TYPE_EXP_REPORTED/1.0
ESTAT;CL_UNIT;Unit of measurement and derived data codes;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_UNIT/1.3
IMF;CL_UNIT;Unit of measure code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_UNIT/1.18.0
IAEG-SDGs;CL_UNIT_MEASURE;SDG Unit of Measure code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_UNIT_MEASURE/1.17
UNSD;CL_UNIT_MEASURE;CL_UNIT_MEASURE;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_UNIT_MEASURE/1.0
SDMX;CL_UNIT_MULT;Unit Multiplier;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_UNIT_MULT/1.1
IAEG-SDGs;CL_URBANISATION;Degree of urbanisation code list;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_URBANISATION/1.10
ESTAT;CL_VALUATION;Valuation;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_VALUATION/1.6
ESTAT;CL_VALUE_AP;Values for AP DSD;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_VALUE_AP/1.0
ESTAT;CL_WATER_FLOWS;Water flows;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_WATER_FLOWS/1.0
ESTAT;SCL_CL_WSTATUS;SCL - Activity and employment status;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/SCL_CL_WSTATUS/1.0
ESTAT;SCL_WSTATUS;SCL_WSTATUS;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/SCL_WSTATUS/1.0
